OID_,Join_Count,TARGET_FID,prop_id,legal_acreage,living_area,imprv_det_quality_cd,tax_area_description,abs_subdv_cd,sl_price,effective_year_built,imprv_type_cd,base_area,actual_year_built,prop_val_yr,sup_num,CENTROID_X,CENTROID_y,geo_id,sum_us_area,total_porch_area,total_garage_area,effective_age,actual_age,has_canal,has_lake,number_of_baths,MISC_Val,Name
91,1,91,8632,0.230000000000000,1014,3,NEWBERRY,124000,202300,1995,100,1014.000000000000000,1972,2023,0,-82.621127920000006,29.642997059999999,01981-011-038,0,0.000000000000000,198,27,50,0,0,1,642,swNewberry_A
92,1,92,8719,0.720000000000000,2290,3,NEWBERRY,0,384900,2010,100,2290.000000000000000,1970,2023,0,-82.612114669999997,29.641792490000000,01989-004-000,0,446.000000000000000,520,12,52,0,0,2,1618,swNewberry_A
93,1,93,8725,0.220000000000000,1056,3,NEWBERRY,21100,208400,1990,100,1056.000000000000000,1984,2023,0,-82.613828659999996,29.641165579999999,01989-005-005,0,64.000000000000000,0,32,38,0,0,2,384,swNewberry_A
94,1,94,8748,0.260000000000000,1248,3,NEWBERRY,7600,230400,1999,100,1248.000000000000000,1979,2023,0,-82.610040740000002,29.641465790000002,01989-020-003,0,104.000000000000000,0,23,43,0,0,2,2232,swNewberry_A
95,1,95,8841,0.240000000000000,1184,3,NEWBERRY,138300,194100,2013,100,975.000000000000000,1975,2023,0,-82.609089429999997,29.649865429999998,02052-000-000,0,353.000000000000000,0,9,47,0,0,1,44,swNewberry_A
96,1,96,9073,0.670000000000000,820,3,NEWBERRY,138300,147900,1956,100,820.000000000000000,1956,2023,0,-82.609409319999997,29.644838480000001,02250-009-000,0,0.000000000000000,0,66,66,0,0,1,826,swNewberry_A
97,1,97,9503,0.350000000000000,864,3,NEWBERRY,20700,183400,1994,100,864.000000000000000,1992,2023,0,-82.627169210000005,29.649796460000001,02509-010-019,0,80.000000000000000,284,28,30,0,0,1,1206,swNewberry_A
98,1,98,9513,0.240000000000000,1629,3,NEWBERRY,20800,303600,2005,100,1629.000000000000000,2003,2023,0,-82.623396499999998,29.649932589999999,02509-010-029,0,136.500000000000000,380,17,19,0,0,2,2376,swNewberry_A
99,1,99,26166,5.000000000000000,2436,3,SUWANNEE,0,355400,1991,100,2436.000000000000000,1991,2023,0,-82.435272979999993,29.916274600000001,05309-001-000,0,0.000000000000000,0,31,31,0,0,2,11356,Rural_North
100,1,100,27547,8.990000000000000,1858,3,SUWANNEE,0,389000,1995,100,1858.000000000000000,1994,2023,0,-82.392384329999999,29.812518099999998,05772-000-000,0,380.000000000000000,490,27,28,0,0,2,6565,Rural_North
101,1,101,27565,5.000000000000000,3650,4,SUWANNEE,400,629400,2012,100,3650.000000000000000,2006,2023,0,-82.384532250000007,29.808630330000000,05775-010-004,0,40.000000000000000,950,10,16,0,0,3,2090,Rural_North
102,1,102,27854,38.799999999999997,1234,3,SUWANNEE,0,700000,1965,100,1234.000000000000000,1940,2023,0,-82.428931030000001,29.798401080000001,05832-000-000,0,0.000000000000000,0,57,82,0,0,1,4580,Rural_North
103,1,103,27871,5.370000000000000,2701,4,SUWANNEE,0,589400,1995,100,2376.000000000000000,1995,2023,0,-82.442427679999994,29.795544289999999,05835-013-000,0,605.000000000000000,483,27,27,0,0,2,2297,Rural_North
104,1,104,27927,0.500000000000000,1300,3,ALACHUA,221400,301200,2005,100,1300.000000000000000,1989,2023,0,-82.456183559999999,29.790169540000001,05852-003-001,0,104.000000000000000,364,17,33,0,0,2,6356,Alachua_Main
105,1,105,27953,0.620000000000000,2278,4,ALACHUA,221100,418600,1995,100,2090.000000000000000,1995,2023,0,-82.456943809999999,29.791758410000000,05853-003-001,0,265.000000000000000,441,27,27,0,0,3,1572,Alachua_Main
106,1,106,27964,0.500000000000000,1845,3,ALACHUA,221100,280600,2000,100,1091.000000000000000,1980,2023,0,-82.457663120000007,29.791202729999998,05853-003-012,466,288.000000000000000,0,22,42,0,0,2,4874,Alachua_Main
107,1,107,5048,1.290000000000000,1335,3,HIGH SPRINGS,180500,235600,1983,100,1335.000000000000000,1965,2023,0,-82.600490870000002,29.813387030000001,01488-235-000,0,25.000000000000000,0,39,57,0,0,1,5270,High_Springs_Main
108,1,108,5064,0.230000000000000,1200,3,HIGH SPRINGS,180500,251100,2006,100,1200.000000000000000,1963,2023,0,-82.601568610000001,29.814069929999999,01488-252-000,0,54.000000000000000,0,16,59,0,0,2,2053,High_Springs_Main
109,1,109,5075,0.270000000000000,1000,3,HIGH SPRINGS,180500,201000,2007,100,1000.000000000000000,1960,2023,0,-82.602387039999996,29.814333720000000,01488-265-000,0,60.000000000000000,0,15,62,0,0,1,1046,High_Springs_Main
110,1,110,5100,0.340000000000000,1142,3,HIGH SPRINGS,180500,252100,2013,100,1142.000000000000000,1975,2023,0,-82.602573899999996,29.811696609999998,01488-283-000,0,68.000000000000000,0,9,47,0,0,2,890,High_Springs_Main
111,1,111,5110,0.230000000000000,1332,3,HIGH SPRINGS,180500,253300,2013,100,1332.000000000000000,1964,2023,0,-82.601546900000002,29.811428039999999,01488-294-000,0,240.000000000000000,0,9,58,0,0,2,100,High_Springs_Main
112,1,112,5116,0.340000000000000,1729,3,HIGH SPRINGS,180500,269500,2000,100,1252.000000000000000,1973,2023,0,-82.600686569999993,29.812258369999999,01488-301-000,0,533.000000000000000,0,22,49,0,0,2,10658,High_Springs_Main
