prop_id,legal_acreage,city_id,yr_blt,living_area,land_type_cd,condition_cd,sl_price
23494,4.02,0,1982,1428,AC,3,300000
23550,6.98,0,2002,1456,AC,3,150300
23554,5.15,0,1999,1512,AC,3,384000
23554,5.15,0,1999,1512,AC,3,507400
23806,5.42,0,1979,1973,AC,3,269500
23865,5,0,2008,4660,AC,5,855000
23932,1.24,0,1979,1574,LT,3,345200
23992,1.02,0,1984,1189,LT,3,231000
24014,1.08,0,2001,1510,LT,3,372000
24054,1,0,1997,1407,LT,3,356100
24134,5.56,0,2000,1741,AC,3,577000
24218,5.56,0,2005,2123,AC,3,492300
24383,5,0,1997,2247,AC,3,425200
24619,2.03,0,1997,2800,LT,3,295000
24719,0.57,0,1940,2052,UN,3,108300
24868,0.42,1015,1920,1797,SF,3,187200
24967,0.4,1015,1994,1300,UN,3,215000
25027,0.82,1015,1935,1642,UN,3,222300
25133,1.25,1015,1956,1200,AC,3,193900
25300,1.15,1015,1929,792,LT,3,210000
25325,2.85,1015,1900,3397,UN,4,526800
25468,6,1015,1900,1948,AC,3,235200
25612,0.39,1015,1976,1040,UN,3,180100
25631,3.36,1015,1996,1008,AC,3,210000
26341,11.96,0,2007,1056,AC,3,311100
26362,29.8,0,1980,1996,AC,3,510000
26364,10.02,0,1977,1384,AC,3,307500
26906,1.34,1020,1961,1780,UN,3,184500
26906,1.34,1020,1961,1780,UN,3,247500
26942,1.15,0,1992,1296,AC,3,184800
27055,10.2,0,2014,1980,AC,3,555000
27154,0.62,1020,2005,1744,AC,3,279200
27217,0.71,0,1975,877,AC,3,122300
27423,5.43,0,1979,760,AC,3,182100
27423,5.43,0,1979,760,AC,3,184800
27547,8.99,0,1994,1858,AC,3,389000
27649,5.71,0,1976,1870,AC,3,277200
27904,8.08,0,1986,1398,AC,3,320400
27928,0.62,1014,2005,2670,UN,3,379300
27961,0.5,1014,1994,1777,UN,3,320600
27961,0.5,1014,1994,1777,UN,3,302000
27964,0.5,1014,1980,1845,UN,3,280600
28011,0.5,1014,1979,1338,UN,3,246500
28031,0.5,1014,1977,1954,UN,3,205000
28299,0.69,1014,2000,1995,LT,3,343000
28320,0.44,1014,1980,3495,LT,4,572400
28340,0.47,1014,2001,3108,LT,4,590200
28366,0.58,1014,1984,3068,LT,4,510700
28406,0.17,1014,1980,1306,LT,3,329700
28406,0.17,1014,1980,1306,LT,3,313700
28426,0.47,1014,1980,1963,LT,4,300300
28445,0.26,1014,1980,1608,LT,4,153600
