legal_acreage,Count,MAE,MSE,R2,PRD,COD,PRB,Weighted Mean,Average Deviation
1.65,2,171174.8879846726,29632555752.53516,-1.428507081336062,1.1543557718142046,29.480570386133806,"{'PRB': -0.41771922749057216, 'Sig': nan}",0.97066821029004,0.3303287449303109
1.66,1,58727.695769421174,3448942250.3856897,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.9284357273000816,0.0
1.67,3,75471.33092175725,8183610167.408291,0.9470593079515459,0.9937928990373176,0.6662218163462293,"{'PRB': 0.008969486248149116, 'Sig': 0.11629789799717957}",0.8770469448245319,0.005779774807650573
1.68,2,33293.05101166484,1164536022.3780031,0.8118296519411392,1.0383292739578196,10.64956592188854,"{'PRB': -0.20413713442424838, 'Sig': nan}",0.9768095016105673,0.10801321177734158
1.69,1,19618.812609583023,384897808.2099338,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",1.0659475421160491,0.0
1.71,1,61215.47889686757,3747334856.572839,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.7320217193460326,0.0
1.72,2,25987.567064241026,714906569.0058198,0.9768201173085342,1.0874940397980841,12.301946637786838,"{'PRB': -0.10900598991520835, 'Sig': nan}",1.0934315792639429,0.1462824874975721
1.73,5,32449.28353293985,1630410492.8822007,0.8432829382480529,1.005078232226862,7.0776026096434945,"{'PRB': -0.038839388610615866, 'Sig': 0.8444723647480602}",0.9977369797537918,0.06710600003494742
1.74,1,17517.831741683476,306874428.92993313,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.9661325489753179,0.0
1.76,2,86136.54123615846,11900787435.124449,0.8174762928503562,0.8839351020296601,33.710692536034735,"{'PRB': 0.5682275797544254, 'Sig': nan}",0.821921207418512,0.24491661108462492
1.77,2,47547.69165950507,2880627504.553572,0.6505829406956847,0.987642430371687,12.532429393730684,"{'PRB': 0.8671858471577689, 'Sig': nan}",0.9425274750460658,0.11666189454959203
1.78,3,20260.979781443846,802210795.4535822,0.9615522672484195,1.0399899772624825,8.683526815584262,"{'PRB': -0.1525340933231512, 'Sig': 0.35679272603427953}",1.0366448050973076,0.08751831570399915
1.79,2,37131.027267200145,1860035381.0345914,0.9178200849467862,0.9826636856930798,7.0766522583417215,"{'PRB': 0.19261044159116503, 'Sig': nan}",0.9279659621835942,0.06453046710904109
1.8,3,74129.86449497579,6460381284.671627,0.8406492016480773,0.9504284620464849,15.04699080963766,"{'PRB': 0.389960593203251, 'Sig': 0.30314715567193584}",1.0106315787951665,0.1292657325029468
1.81,2,75138.4910256982,7435464944.346175,-0.06383627796402802,0.992021971956719,10.50065186733708,"{'PRB': 0.9484868530890527, 'Sig': nan}",0.8606532362493603,0.08965319222054097
1.82,1,56479.39722288324,3189922310.660231,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.9010921353791989,0.0
1.85,1,26597.660237626114,707435530.1161972,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",1.0710640410517847,0.0
1.89,2,14520.28694938292,318072338.48535067,0.3617917407629858,0.9989197540583775,2.916995582568513,"{'PRB': 0.5451359486098324, 'Sig': nan}",1.044974748237547,0.03044893933166115
1.9,4,44852.92963692939,2986754181.827674,0.72002260374692,1.0149286131244952,14.688459556964457,"{'PRB': -0.20109329280461802, 'Sig': 0.5990760397851204}",0.9849757075031675,0.14258338428392572
1.91,3,102915.91647562226,12995199406.778368,0.4751382587935342,1.079935120322493,14.697107117113335,"{'PRB': -0.2537540960589738, 'Sig': 0.3421184844872797}",1.1234652361131996,0.1815725028574844
1.93,1,56993.899550354574,3248304585.9559073,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.8938884178762656,0.0
1.94,1,34804.10200054041,1211325516.064021,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.9112108775721532,0.0
1.95,1,40932.95711376771,1675506978.0775468,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.8216879186920035,0.0
1.96,4,47494.66266816273,3263812053.1521025,0.6132282557455637,1.0134068947413863,6.751813459291854,"{'PRB': -0.10302242626049735, 'Sig': 0.2974828480981253}",0.8853265567421237,0.06040634920566676
1.97,3,84872.67060368879,7368000130.267358,0.40929450097279063,1.0146805894059712,13.344275691146635,"{'PRB': -0.19097241073619034, 'Sig': 0.777758786892719}",0.9577531960148816,0.11613762762510334
1.98,2,73780.68777937914,5464436566.70229,0.8821585742836797,0.9858782829332862,8.753149203714228,"{'PRB': 0.3674237374797556, 'Sig': nan}",1.005278145872051,0.0867508767659999
1.99,3,45956.54612987892,2305622118.0149097,0.9576450267967327,0.9130048174935043,19.39921927707447,"{'PRB': 0.20941810934013097, 'Sig': 0.4813260277841078}",1.0130581855159746,0.20278405969253285
2.0,20,79371.15910403637,15302183434.627752,0.7594739171409193,1.0230399939986006,21.241660212027668,"{'PRB': -0.04062370736844159, 'Sig': 0.6074746595023166}",0.8714228674551843,0.19146237717641804
2.01,3,51937.04787474629,3422967352.724291,0.9146983180617676,1.0088222378877634,7.411071349816529,"{'PRB': -0.05440411438124714, 'Sig': 0.7618081995363198}",1.0835667092349053,0.08392005001458273
2.02,5,63216.70759959579,4847687208.763038,0.866375990273643,0.9230951167933323,23.55189671892243,"{'PRB': 0.31434598399945074, 'Sig': 0.1515429121535722}",0.9509271103114985,0.2104489953746967
2.03,6,73892.72055638306,8706937541.843145,0.8992621373560367,0.9652084067895103,28.030174868151924,"{'PRB': 0.08494285186471177, 'Sig': 0.6109472671555001}",0.910219338961551,0.2660124161443855
2.05,4,18591.557434280294,775530527.521289,0.8807773631529867,1.0510688206673655,10.810352127238275,"{'PRB': -0.2593497702018068, 'Sig': 0.020109750274735265}",1.056042821799621,0.11070380185348891
2.06,2,66855.78216509364,6709482319.918934,0.7245223764609332,0.9697601399002183,13.802138719080979,"{'PRB': 0.4161444793987148, 'Sig': nan}",1.1198588103953309,0.14989045862620531
2.09,3,114337.75581622687,13467710890.944153,-2.191293452892404,1.0128671589916516,11.953986705009436,"{'PRB': -0.7115569671737286, 'Sig': 0.4653051427456899}",0.9245561031262954,0.10175535440700738
2.1,2,79169.10015866594,11731134652.86746,-5.116470352609474,1.011098412069904,16.31418063037773,"{'PRB': -1.678162331967711, 'Sig': nan}",0.8594141398101738,0.14176244325767723
2.12,3,104233.25342123216,11284443018.507702,0.665442327363786,0.9983338248611227,17.205821237353152,"{'PRB': 0.0645742045841307, 'Sig': 0.9077752004729167}",0.9372793387615281,0.1443435771574418
2.15,2,29526.961341616,1473845471.9511206,0.9210277971126234,0.9435226469879712,16.812086495431444,"{'PRB': 0.3129685728254515, 'Sig': nan}",0.9184223314151239,0.14568551702428978
2.16,1,60363.74641040739,3643781880.6999707,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.64898420398816,0.0
2.17,1,55106.325914377,3036707155.781538,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",1.0851652628706203,0.0
