tax_area_description,Market_Cluster_ID,actual_year_built,imprv_det_quality_cd,count,mean,std,min,25%,50%,75%,max,median
SUWANNEE,Real_Tioga,2011,4.0,1.0,0.776486632311895,,0.776486632311895,0.776486632311895,0.776486632311895,0.776486632311895,0.776486632311895,0.776486632311895
SUWANNEE,Real_Tioga,2012,4.0,1.0,0.9860771789983424,,0.9860771789983424,0.9860771789983424,0.9860771789983424,0.9860771789983424,0.9860771789983424,0.9860771789983424
SUWANNEE,Real_Tioga,2013,4.0,1.0,0.8800585124541316,,0.8800585124541316,0.8800585124541316,0.8800585124541316,0.8800585124541316,0.8800585124541316,0.8800585124541316
SUWANNEE,Real_Tioga,2013,5.0,1.0,0.8237214944391333,,0.8237214944391333,0.8237214944391333,0.8237214944391333,0.8237214944391333,0.8237214944391333,0.8237214944391333
SUWANNEE,Real_Tioga,2015,4.0,3.0,0.8512037706205686,0.11912229383909387,0.7527711106315209,0.7849921818606588,0.8172132530897966,0.9004201006150925,0.9836269481403882,0.8172132530897966
SUWANNEE,Real_Tioga,2015,5.0,3.0,0.8142557806707408,0.07690880466939017,0.7515235551617414,0.771353865262984,0.7911841753642266,0.8456218934252405,0.9000596114862545,0.7911841753642266
SUWANNEE,Real_Tioga,2016,4.0,2.0,0.8669703226433263,0.29771890333624595,0.6564512672068445,0.7617107949250854,0.8669703226433263,0.9722298503615672,1.077489378079808,0.8669703226433263
SUWANNEE,Real_Tioga,2016,5.0,2.0,0.8504842190529049,0.006504619839575003,0.8458847582553009,0.8481844886541029,0.8504842190529049,0.8527839494517069,0.8550836798505089,0.8504842190529049
SUWANNEE,Real_Tioga,2017,4.0,2.0,0.8344645867856018,0.1601240013505773,0.7212398195998846,0.7778522031927432,0.8344645867856018,0.8910769703784602,0.9476893539713188,0.8344645867856018
SUWANNEE,Real_Tioga,2018,4.0,1.0,0.883485408319743,,0.883485408319743,0.883485408319743,0.883485408319743,0.883485408319743,0.883485408319743,0.883485408319743
SUWANNEE,Real_Tioga,2018,5.0,4.0,0.8320426688239531,0.024522018457707677,0.8059029887082213,0.8160207874118774,0.8303112359782736,0.8463331173903492,0.8616452146310442,0.8303112359782736
SUWANNEE,Real_Tioga,2022,5.0,1.0,0.7101710515678932,,0.7101710515678932,0.7101710515678932,0.7101710515678932,0.7101710515678932,0.7101710515678932,0.7101710515678932
